"name","type_national_section_id","lang"
Associate Member,1,1
Corresponding Member,2,1
Full Member,3,1
Partner Member,4,1
Miembro Asociado,1,2
Miembro Correspondiente,2,2
Miembro Completo,3,2
Miembro Socio,4,2
Membre Associé,1,3
Membre Correspondant,2,3
Membre Titulaire,3,3
Membre Partenaire,4,3
