"name","region_id","lang_id"
African Region,1,1
Asian and the Pacific Region,2,1
Central and North European Region,3,1
Latin American and Caribbean Region,4,1
North American Region,5,1
South European Region,6,1
Región africana,1,2
Región asiática y del Pacífico,2,2
Región centroeuropea y noreuropea,3,2
Región latinoamericana y del Caribe,4,2
Región norteamericana,5,2
Región sureuropea,6,2
Région africaine,1,3
Région asiatique et du Pacifique,2,3
Région européenne centrale et du nord,3,3
Région latino-américaine et des Caraïbes,4,3
Région nord-américaine,5,3
Région sud-européenne,6,3
