"id","name","active","created_at","updated_at"
1,Admin,true,2024-09-05 06:51:15.771,
2,Council,true,2024-09-05 06:51:15.907,
3,National Sections,true,2024-09-05 06:51:16.003,
4,Festivals,true,2024-09-05 06:51:16.098,
5,Groups,true,2024-09-05 06:51:16.198,
